ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
INTC,large,bb,2,20-day return + 60-day return,1,1,60-day return,0.13409110733174928,0.09502117472745547,44.215755855216464
INTC,large,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,-0.007582191052460284,0.0802639827325362,56.42299503193754
INTC,large,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.06591887127334957,0.09807689229048329,56.42299503193754
INTC,large,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,-0.11305462469908623,0.10399358560859051,56.42299503193754
INTC,large,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.01963881812657363,0.10732822068621728,43.577004968062454
INTC,large,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.09939205970228829,0.1336889095856489,43.577004968062454
INTC,large,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.16857894265400128,0.12101877249284837,43.577004968062454
CSCO,large,vol,1,daily return,0,0,daily return,-0.0015959614149525202,0.03625853406684784,12.753685110019228
CSCO,large,vol,1,daily return,1,0,daily return,0.0008453716810224599,0.011431756475125046,87.24631488998077
CSCO,large,vol,2,daily return + rolling volatility,0,0,daily return,-0.00022979882845593571,0.028100554586702683,26.89596240119633
CSCO,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.025525738459520077,0.009756711686420042,26.89596240119633
CSCO,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0006985972944977034,0.012271802187149882,73.10403759880367
CSCO,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.011677975955293345,0.0036804156925701707,73.10403759880367
CSCO,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.011981684181077843,0.0140508705628897,47.447126682332836
CSCO,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.015773275611516105,0.008966098896411484,47.447126682332836
CSCO,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.01198168420151608,0.014050870545461277,47.447126682332836
CSCO,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.011661109599352225,0.013335314066065331,52.55287331766717
CSCO,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.015226991505917132,0.008278256768428808,52.55287331766717
CSCO,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.011661109599352225,0.013335314066065331,52.55287331766717
CSCO,large,bb,1,20-day return,0,0,20-day return,-0.06522922059566738,0.048853552334986776,34.918381831085874
CSCO,large,bb,1,20-day return,1,0,20-day return,0.046463757415027014,0.04436673566155426,65.08161816891412
CSCO,large,bb,2,20-day return + 60-day return,0,0,20-day return,-0.03447783929857378,0.0798480237160443,38.11213626685593
CSCO,large,bb,2,20-day return + 60-day return,0,1,60-day return,-0.09225794012678533,0.0652767012404278,38.11213626685593
CSCO,large,bb,2,20-day return + 60-day return,1,0,20-day return,0.03155895612379439,0.04966971840355919,61.88786373314408
CSCO,large,bb,2,20-day return + 60-day return,1,1,60-day return,0.08934055160817879,0.07361218317112204,61.88786373314408
